,Participant,Trials,Baseline,RNN,SPICE
233,233.0,104.0,125.75,79.57,0.0
234,234.0,104.0,121.01,74.1,0.0
235,235.0,104.0,114.01,40.93,0.0
236,236.0,104.0,129.3,88.65,0.0
237,237.0,104.0,115.9,23.66,0.0
238,238.0,104.0,116.16,40.62,0.0
239,239.0,104.0,127.72,98.09,0.0
240,240.0,104.0,123.36,49.96,0.0
241,241.0,101.0,125.74,61.25,0.0
242,242.0,102.0,124.55,65.51,0.0
243,243.0,104.0,126.09,79.86,0.0
244,244.0,104.0,134.87,95.24,0.0
245,245.0,124.0,155.41,83.91,0.0
246,246.0,104.0,118.99,43.18,0.0
247,247.0,104.0,111.51,29.67,0.0
248,248.0,104.0,113.84,40.67,0.0
249,249.0,104.0,118.17,49.89,0.0
250,250.0,100.0,141.97,158.0,0.0
251,251.0,104.0,121.16,39.74,0.0
252,252.0,104.0,119.36,49.34,0.0
253,253.0,104.0,125.19,79.37,0.0
254,254.0,104.0,137.86,139.73,0.0
255,255.0,104.0,121.12,76.9,0.0
256,256.0,104.0,113.5,42.23,0.0
257,257.0,104.0,125.82,59.03,0.0
258,258.0,104.0,117.67,37.61,0.0
259,259.0,104.0,123.44,52.16,0.0
260,260.0,104.0,125.66,70.77,0.0
261,261.0,124.0,138.5,32.67,0.0
262,262.0,104.0,118.27,21.76,0.0
263,263.0,103.0,143.69,153.46,0.0
264,264.0,104.0,127.41,72.54,0.0
265,265.0,104.0,125.6,57.43,0.0
266,266.0,104.0,120.07,48.65,0.0
267,267.0,104.0,130.62,108.57,0.0
268,268.0,104.0,125.01,57.46,0.0
269,269.0,104.0,125.72,82.7,0.0
270,270.0,104.0,127.99,65.32,0.0
271,271.0,104.0,120.36,52.49,0.0
272,272.0,104.0,123.63,93.04,0.0
273,273.0,104.0,125.59,113.27,0.0
274,274.0,104.0,122.14,53.66,0.0
275,275.0,104.0,128.37,81.14,0.0
276,276.0,104.0,120.02,66.11,0.0
277,277.0,124.0,151.47,41.67,0.0
278,278.0,104.0,116.62,46.36,0.0
279,279.0,104.0,120.93,94.73,0.0
280,280.0,104.0,125.09,52.39,0.0
281,281.0,104.0,113.15,23.79,0.0
282,282.0,124.0,153.98,56.83,0.0
283,283.0,104.0,121.09,52.6,0.0
284,284.0,104.0,116.13,37.34,0.0
285,285.0,104.0,130.89,106.93,0.0
286,286.0,104.0,124.74,83.54,0.0
287,287.0,104.0,115.53,19.34,0.0
288,288.0,124.0,142.58,96.95,0.0
289,289.0,104.0,125.58,61.55,0.0
290,290.0,104.0,123.46,92.57,0.0
291,291.0,104.0,115.49,22.88,0.0
292,292.0,124.0,145.34,129.64,0.0
293,293.0,104.0,125.29,78.19,0.0
294,294.0,104.0,120.33,50.62,0.0
295,295.0,104.0,117.99,53.32,0.0
296,296.0,104.0,128.71,50.5,0.0
297,297.0,104.0,115.3,72.26,0.0
298,298.0,104.0,121.41,53.23,0.0
299,299.0,96.0,110.49,77.61,0.0
300,300.0,103.0,121.97,72.65,0.0
301,301.0,104.0,123.62,60.85,0.0
302,302.0,104.0,117.45,46.44,0.0
303,303.0,104.0,120.99,59.1,0.0
304,304.0,104.0,116.67,73.38,0.0
305,305.0,104.0,123.7,65.53,0.0
